genome	tax	AMO	hao	NXR	NAP	NAR	NAS	NIR	ccNIR	ppk1	ppk2	ppx	Ni_MP_aver	Cd_MP_aver	Cr_O_aver	Ni_O_aver	Cd_O_aver	Cr_LP_aver	Ni_LP_aver	Cd_LP_aver	Cd_HP_aver	Ni_HP_aver	Cr_MP_aver	Cr_HP_aver	CK	LDAgroup	LDA_socre	pvalue
MAG-143	p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__								Yes	Yes	Yes		2.606243	3.988794	18.097805	8.313469	11.624955	0.194404	3.747146	16.118252	0.081873	0.110099	0.246055	0.166838	19.680175	CK	3.437252386	0.045648399
MAG-144	p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__						Yes			Yes	Yes	Yes	0.09724	0.15352	0.947924	0.460206	1.281626	12.277464	0.049518	0.3259155	0.086006	0.062124	67.140681	67.147011	0.2367105	Cr	3.638889046	0.005699841
MAG-145	p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__;s__				Yes		Yes	Yes		Yes	Yes	Yes	1.396686	18.708914	6.316165	13.43555	13.7828285	0.222146	26.766723	21.9308	1.490171	0.342026	0.317638	0.329844	232.611112			-
MAG-146	p__Proteobacteria;c__UBA2361;o__SZUA-149;f__;g__;s__												0	0	16.95015	6.462786	1.978735	0	0	0	0	0	0	0	3.346654	CK	3.213955703	0.008390523
MAG-147	p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__Bin65;g__;s__					Yes				Yes	Yes	Yes	1.084987	7.065884	9.228732	3.271502	5.340082	0.776702	0.821224	3.764733	3.706132	0.398721	1.09761	0.800288	12.014876	CK	3.143526478	0.00706118
MAG-148	p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobia;g__Pedosphaera;s__			Yes			Yes		Yes	Yes	Yes		0.091919	0.539624	7.316867	13.06463	8.996648	18.799609	1.79365	4.888313	0.137782	0.012527	10.346556	1.420261	3.82148			-
MAG-149	p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__;s__			Yes					Yes	Yes	Yes		15.457706	24.918298	7.270832	4.243651	5.633219	0	4.615369	6.570007	11.042408	0.477164	0.057455	0	5.282157	Cd	3.470625759	0.00989599
MAG-15	p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__									Yes	Yes		0.604815	0.33358	2.268476	5.114899	3.147112	0	14.154199	0.589981	2.092125	0.258608	0	0	0	Ni	3.163772784	0.025691824
MAG-150	p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__						Yes	Yes		Yes	Yes		1.81333	1.294714	48.641759	164.7961	64.787284	0.876035	12.917798	5.584659	0.1653	0.499385	0.826131	0.378037	0.433429			-
MAG-151	p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__										Yes		23.813136	23.068582	14.496898	27.868831	28.138046	0.357304	83.740588	32.204337	12.046368	6.156335	0.232928	0.061495	15.178261			-
MAG-152	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__									Yes	Yes		0.041366	0.180356	0.083563	0.045319	0.076716	10.458488	0	0.03016	0.096617	0	24.041803	18.805105	0.113596	Cr	3.235432231	0.009113808
